packets_injected,packets_received,average_packet_queueing_latency,average_packet_network_latency,average_packet_latency,average_hops,reception_rate,traffic_pattern,injection_rate
3165.0,3162.0,2.0,13.557559,15.557559,5.26945,0.004941,uniform_random,0.01
15980.0,15955.0,2.0,13.526669,15.526669,5.221122,0.02493,uniform_random,0.05
31970.0,31919.0,2.0,13.711394,15.711394,5.266832,0.049873,uniform_random,0.1
47716.0,47649.0,2.0,13.745934,15.745934,5.241327,0.074452,uniform_random,0.15
63801.0,63702.0,2.0,13.890302,15.890302,5.264277,0.099534,uniform_random,0.2
79865.0,79728.0,2.0,13.979919,15.979919,5.256108,0.124575,uniform_random,0.25
96060.0,95916.0,2.0,14.106958,16.106958,5.259592,0.149869,uniform_random,0.3
111998.0,111839.0,2.0,14.199984,16.199984,5.24132,0.174748,uniform_random,0.35
127850.0,127645.0,2.0,14.393482,16.393482,5.24518,0.199445,uniform_random,0.4
143788.0,143576.0,2.0,14.614727,16.614727,5.251936,0.224337,uniform_random,0.45
159529.0,159305.0,2.00005,14.905213,16.905263,5.248122,0.248914,uniform_random,0.5
3151.0,3149.0,2.0,11.025405,13.025405,4.005716,0.00492,shuffle,0.01
15968.0,15951.0,2.0,11.116544,13.116544,4.021002,0.024923,shuffle,0.05
31948.0,31902.0,2.0,11.157451,13.157451,4.006927,0.049847,shuffle,0.1
47760.0,47695.0,2.0,11.21344,13.21344,3.995408,0.074523,shuffle,0.15
63806.0,63720.0,2.0,11.302197,13.302197,3.997097,0.099562,shuffle,0.2
79713.0,79607.0,2.0,11.406623,13.406623,3.99598,0.124386,shuffle,0.25
95810.0,95691.0,2.0,11.553333,13.553333,3.995266,0.149517,shuffle,0.3
111703.0,111572.0,2.000081,11.81732,13.8174,3.995241,0.174331,shuffle,0.35
127637.0,127469.0,2.002189,12.505393,14.507582,3.997709,0.19917,shuffle,0.4
143485.0,143184.0,6.680174,19.06368,25.743854,3.997528,0.223725,shuffle,0.45
150241.0,149807.0,258.784469,27.540649,286.325118,3.984173,0.234073,shuffle,0.5
3151.0,3149.0,2.0,13.662433,15.662433,5.323595,0.00492,transpose,0.01
15968.0,15943.0,2.0,13.582325,15.582325,5.247695,0.024911,transpose,0.05
31948.0,31897.0,2.0,13.642662,15.642662,5.229395,0.049839,transpose,0.1
47760.0,47687.0,2.0,13.761717,15.761717,5.227169,0.074511,transpose,0.15
63806.0,63702.0,2.0,14.000345,16.000345,5.245455,0.099534,transpose,0.2
79713.0,79582.0,2.000025,14.455668,16.455693,5.243246,0.124347,transpose,0.25
94906.0,94721.0,41.77818,18.575216,60.353396,5.171293,0.148002,transpose,0.3
106412.0,106183.0,132.157219,21.454254,153.611473,4.884322,0.165911,transpose,0.35
115853.0,115573.0,195.273983,23.151567,218.425549,4.575031,0.180583,transpose,0.4
123098.0,122804.0,309.89844,23.645606,333.544046,4.282857,0.191881,transpose,0.45
129903.0,129573.0,343.439142,24.758275,368.197418,4.02553,0.202458,transpose,0.5
3151.0,3150.0,2.0,10.468889,12.468889,3.726349,0.004922,tornado,0.01
15968.0,15949.0,2.0,10.550191,12.550191,3.744498,0.02492,tornado,0.05
31948.0,31903.0,2.0,10.62386,12.62386,3.749459,0.049848,tornado,0.1
47760.0,47699.0,2.0,10.68752,12.68752,3.746934,0.07453,tornado,0.15
63806.0,63725.0,2.0,10.768082,12.768082,3.748686,0.09957,tornado,0.2
79713.0,79613.0,2.0,10.857762,12.857762,3.749199,0.124395,tornado,0.25
95810.0,95696.0,2.0,10.974179,12.974179,3.749457,0.149525,tornado,0.3
111703.0,111572.0,2.0,11.127344,13.127344,3.748252,0.174331,tornado,0.35
127637.0,127475.0,2.000408,11.391928,13.392336,3.747409,0.19918,tornado,0.4
143553.0,143370.0,2.026993,11.989998,14.016991,3.747227,0.224016,tornado,0.45
159439.0,159213.0,4.929466,14.495393,19.424859,3.746861,0.24877,tornado,0.5
3151.0,3150.0,2.0,6.531429,8.531429,1.765714,0.004922,neighbor,0.01
15968.0,15955.0,2.0,6.474146,8.474146,1.737073,0.02493,neighbor,0.05
31948.0,31920.0,2.0,6.486466,8.486466,1.743233,0.049875,neighbor,0.1
47760.0,47725.0,2.0,6.48023,8.48023,1.740115,0.07457,neighbor,0.15
63806.0,63757.0,2.0,6.487837,8.487837,1.743918,0.09962,neighbor,0.2
79713.0,79654.0,2.0,6.493108,8.493108,1.746554,0.124459,neighbor,0.25
95810.0,95742.0,2.0,6.501786,8.501786,1.750893,0.149597,neighbor,0.3
111703.0,111620.0,2.0,6.499839,8.499839,1.749919,0.174406,neighbor,0.35
127637.0,127541.0,2.0,6.497307,8.497307,1.748653,0.199283,neighbor,0.4
143553.0,143447.0,2.0,6.498588,8.498588,1.749294,0.224136,neighbor,0.45
159452.0,159332.0,2.0,6.495368,8.495368,1.747684,0.248956,neighbor,0.5
