parameter,experiment,traffic_pattern,latency,throughput
vcs-per-vnet,vcs-per-vnet-1,uniform_random,15.744782,0.004941
vcs-per-vnet,vcs-per-vnet-1,shuffle,13.167672,0.00492
vcs-per-vnet,vcs-per-vnet-1,transpose,15.827564,0.00492
vcs-per-vnet,vcs-per-vnet-1,tornado,12.609206,0.004922
vcs-per-vnet,vcs-per-vnet-1,neighbor,8.563492,0.004922
vcs-per-vnet,vcs-per-vnet-2,uniform_random,15.560089,0.004941
vcs-per-vnet,vcs-per-vnet-2,shuffle,13.026358,0.00492
vcs-per-vnet,vcs-per-vnet-2,transpose,15.665926,0.00492
vcs-per-vnet,vcs-per-vnet-2,tornado,12.471111,0.004922
vcs-per-vnet,vcs-per-vnet-2,neighbor,8.531429,0.004922
vcs-per-vnet,vcs-per-vnet-4,uniform_random,15.557559,0.004941
vcs-per-vnet,vcs-per-vnet-4,shuffle,13.025405,0.00492
vcs-per-vnet,vcs-per-vnet-4,transpose,15.662433,0.00492
vcs-per-vnet,vcs-per-vnet-4,tornado,12.468889,0.004922
vcs-per-vnet,vcs-per-vnet-4,neighbor,8.531429,0.004922
vcs-per-vnet,vcs-per-vnet-8,uniform_random,15.557559,0.004941
vcs-per-vnet,vcs-per-vnet-8,shuffle,13.025405,0.00492
vcs-per-vnet,vcs-per-vnet-8,transpose,15.662433,0.00492
vcs-per-vnet,vcs-per-vnet-8,tornado,12.468889,0.004922
vcs-per-vnet,vcs-per-vnet-8,neighbor,8.531429,0.004922
router-latency,router-latency-1,uniform_random,15.557559,0.004941
router-latency,router-latency-1,shuffle,13.025405,0.00492
router-latency,router-latency-1,transpose,15.662433,0.00492
router-latency,router-latency-1,tornado,12.468889,0.004922
router-latency,router-latency-1,neighbor,8.531429,0.004922
router-latency,router-latency-2,uniform_random,21.819102,0.004941
router-latency,router-latency-2,shuffle,18.022236,0.004919
router-latency,router-latency-2,transpose,21.977771,0.00492
router-latency,router-latency-2,tornado,17.18615,0.004919
router-latency,router-latency-2,neighbor,11.297143,0.004922
router-latency,router-latency-4,uniform_random,34.348432,0.004933
router-latency,router-latency-4,shuffle,28.027354,0.004913
router-latency,router-latency-4,transpose,34.61602,0.004916
router-latency,router-latency-4,tornado,26.63911,0.004914
router-latency,router-latency-4,neighbor,16.821474,0.004919
router-latency,router-latency-8,uniform_random,59.365256,0.004911
router-latency,router-latency-8,shuffle,48.041441,0.004902
router-latency,router-latency-8,transpose,59.914358,0.004908
router-latency,router-latency-8,tornado,45.552405,0.004905
router-latency,router-latency-8,neighbor,27.870229,0.004913
link-width-bits,link-width-64,uniform_random,15.557559,0.004941
link-width-bits,link-width-64,shuffle,13.025405,0.00492
link-width-bits,link-width-64,transpose,15.662433,0.00492
link-width-bits,link-width-64,tornado,12.468889,0.004922
link-width-bits,link-width-64,neighbor,8.531429,0.004922
link-width-bits,link-width-128,uniform_random,15.557559,0.004941
link-width-bits,link-width-128,shuffle,13.025405,0.00492
link-width-bits,link-width-128,transpose,15.662433,0.00492
link-width-bits,link-width-128,tornado,12.468889,0.004922
link-width-bits,link-width-128,neighbor,8.531429,0.004922
link-width-bits,link-width-256,uniform_random,15.557559,0.004941
link-width-bits,link-width-256,shuffle,13.025405,0.00492
link-width-bits,link-width-256,transpose,15.662433,0.00492
link-width-bits,link-width-256,tornado,12.468889,0.004922
link-width-bits,link-width-256,neighbor,8.531429,0.004922
link-width-bits,link-width-512,uniform_random,15.557559,0.004941
link-width-bits,link-width-512,shuffle,13.025405,0.00492
link-width-bits,link-width-512,transpose,15.662433,0.00492
link-width-bits,link-width-512,tornado,12.468889,0.004922
link-width-bits,link-width-512,neighbor,8.531429,0.004922
